Age,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Decision
21,Business Owner,631600,8,3,Home Renovation,263000,48,0,0,0,14.29,41.64,23.16,1,2,23,3,0.5,2,86.16,637,0
29,Business Owner,644100,10.9,3,Medical,651000,48,1,112300,3650,42.12,101.07,27.53,0,0,0,1,7.7,3,100,698,1
28,Salaried,1018600,9.5,1,Personal,913000,36,0,0,0,37.29,89.63,31.55,0,0,0,3,2.3,3,100,677,1
30,Contract,901600,8.1,3,Medical,856000,48,2,739800,16400,55.2,94.94,18.79,0,0,0,0,4.3,4,99.66,699,0
39,Salaried,1270100,6.3,0,Personal,463000,36,0,0,0,15.53,36.45,40.82,0,0,0,4,15.5,6,100,711,1
41,Salaried,739600,7.7,0,Consumer Durable,2009000,24,1,72600,1570,95,271.63,22.2,0,0,0,8,16.3,4,100,701,0
27,Contract,716000,5.6,2,Personal,480000,24,0,0,0,37.88,67.04,29.01,0,1,12,1,1.4,3,93.52,656,1
29,Salaried,180000,8.6,1,Home,492000,60,0,0,0,69.4,273.33,8.31,0,0,0,3,7,2,99.32,687,0
45,Self-Employed,533100,3.7,2,Home,1228000,48,0,0,0,74.94,230.35,39.69,0,1,14,1,25,2,97.05,756,0
50,Salaried,1054300,8.5,0,Vehicle,526000,48,1,735000,28500,47.47,49.89,36.94,1,0,0,0,35,6,92.38,744,1
47,Salaried,432400,8.6,1,Business,1087000,72,1,396000,7500,86.71,251.39,15.07,0,0,0,1,16.5,6,98,743,1
22,Salaried,799400,6.6,0,Home,1726000,24,4,1732700,44610,95,215.91,47.4,0,0,0,3,0.5,7,98.04,658,0
46,Salaried,570400,13.9,2,Personal,1363000,60,3,1018300,35850,95,238.96,56.41,0,1,6,4,23.1,6,98.82,724,0
52,Business Owner,517500,3.8,2,Home,353000,48,1,89800,3760,29.96,68.21,41.05,0,0,0,3,31.7,4,99.75,755,1
22,Self-Employed,306100,10.2,1,Personal,343000,72,1,147900,5450,49.03,112.05,60.87,0,0,0,0,0.5,4,97.15,616,0
45,Salaried,302300,3.5,3,Personal,330000,36,0,0,0,46.6,109.16,14.73,1,2,21,1,20.5,4,84.54,697,1
38,Salaried,356600,6.7,2,Vehicle,546000,48,2,349100,9970,80.58,153.11,10.01,0,0,0,1,16.2,6,100,726,1
33,Contract,1021400,5,2,Consumer Durable,384000,36,0,0,0,14.93,37.6,40.77,0,2,22,0,8.1,4,95.44,701,1
37,Salaried,1254900,10.6,1,Home,1654000,24,1,39300,1150,75.37,131.8,30.61,0,0,0,8,8.1,4,100,684,0
40,Salaried,595600,6.4,2,Personal,695000,84,1,452800,9950,44.04,116.69,43.69,0,0,0,2,7.9,2,99.71,672,1
46,Professional,1131900,2.4,3,Vehicle,1676000,36,2,173400,4170,67.05,148.07,58.4,0,0,0,1,24.3,6,98.12,731,0
45,Self-Employed,959800,6.8,1,Education,2344000,60,1,322100,8570,78.62,244.22,11.76,0,0,0,6,19.8,2,96.58,736,0
23,Salaried,984800,2,3,Consumer Durable,1642000,48,1,38800,880,52.16,166.73,5.5,0,1,12,2,4.3,4,98.54,683,1
30,Self-Employed,425500,6.4,0,Personal,1052000,60,0,0,0,74.39,247.24,35.09,0,1,11,4,7,4,98.89,656,0
